[2024-12-06T17:52:46.426+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:46.435+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:46.445+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-08-02 06:00:00+00:00
[2024-12-06T17:52:46.449+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:72} INFO - Started process 2461 to run task
[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-08-02T06:00:00+00:00', '--job-id', '64', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjodmkcm5']
[2024-12-06T17:52:46.452+0000] {standard_task_runner.py:105} INFO - Job 64: Subtask wget
[2024-12-06T17:52:46.729+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  29800K .......... .......... .......... .......... .......... 59%  185M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  29850K .......... .......... .......... .......... .......... 59%  252M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  29900K .......... .......... .......... .......... .......... 60%  222M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  29950K .......... .......... .......... .......... .......... 60%  208M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  30000K .......... .......... .......... .......... .......... 60%  190M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  30050K .......... .......... .......... .......... .......... 60%  212M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  30100K .......... .......... .......... .......... .......... 60%  241M 1s
[2024-12-06T17:52:48.704+0000] {subprocess.py:106} INFO -  30150K .......... .......... .......... .......... .......... 60%  253M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30200K .......... .......... .......... .......... .......... 60%  194M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30250K .......... .......... .......... .......... .......... 60%  247M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30300K .......... .......... .......... .......... .......... 60%  261M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30350K .......... .......... .......... .......... .......... 60%  267M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30400K .......... .......... .......... .......... .......... 61%  240M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30450K .......... .......... .......... .......... .......... 61%  304M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30500K .......... .......... .......... .......... .......... 61%  310M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30550K .......... .......... .......... .......... .......... 61%  258M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30600K .......... .......... .......... .......... .......... 61%  311M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30650K .......... .......... .......... .......... .......... 61%  261M 1s
[2024-12-06T17:52:48.705+0000] {subprocess.py:106} INFO -  30700K .......... .......... .......... .......... .......... 61%  262M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  30750K .......... .......... .......... .......... .......... 61%  197M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  30800K .......... .......... .......... .......... .......... 61%  107M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  30850K .......... .......... .......... .......... .......... 61%  263M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  30900K .......... .......... .......... .......... .......... 62%  256M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  30950K .......... .......... .......... .......... .......... 62%  232M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  31000K .......... .......... .......... .......... .......... 62%  221M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  31050K .......... .......... .......... .......... .......... 62%  193M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  31100K .......... .......... .......... .......... .......... 62%  215M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  31150K .......... .......... .......... .......... .......... 62%  217M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  31200K .......... .......... .......... .......... .......... 62%  295M 1s
[2024-12-06T17:52:48.706+0000] {subprocess.py:106} INFO -  31250K .......... .......... .......... .......... .......... 62%  264M 1s
[2024-12-06T17:52:48.707+0000] {subprocess.py:106} INFO -  31300K .......... .......... .......... .......... .......... 62%  295M 1s
[2024-12-06T17:52:48.707+0000] {subprocess.py:106} INFO -  31350K .......... .......... .......... .......... .......... 62%  255M 1s
[2024-12-06T17:52:48.707+0000] {subprocess.py:106} INFO -  31400K .......... .......... .......... .......... .......... 63% 85.1M 1s
[2024-12-06T17:52:48.707+0000] {subprocess.py:106} INFO -  31450K .......... .......... .......... .......... .......... 63%  245M 1s
[2024-12-06T17:52:48.707+0000] {subprocess.py:106} INFO -  31500K .......... .......... .......... .......... .......... 63%  227M 1s
[2024-12-06T17:52:48.707+0000] {subprocess.py:106} INFO -  31550K .......... .......... .......... .......... .......... 63%  224M 1s
[2024-12-06T17:52:48.724+0000] {subprocess.py:106} INFO -  31600K .......... .......... .......... .......... .......... 63% 2.40M 1s
[2024-12-06T17:52:48.724+0000] {subprocess.py:106} INFO -  31650K .......... .......... .......... .......... .......... 63% 45.0M 1s
[2024-12-06T17:52:48.725+0000] {subprocess.py:106} INFO -  31700K .......... .......... .......... .......... .......... 63% 79.5M 1s
[2024-12-06T17:52:48.728+0000] {subprocess.py:106} INFO -  31750K .......... .......... .......... .......... .......... 63% 17.1M 1s
[2024-12-06T17:52:48.730+0000] {subprocess.py:106} INFO -  31800K .......... .......... .......... .......... .......... 63% 69.7M 1s
[2024-12-06T17:52:48.731+0000] {subprocess.py:106} INFO -  31850K .......... .......... .......... .......... .......... 63% 71.6M 1s
[2024-12-06T17:52:48.732+0000] {subprocess.py:106} INFO -  31900K .......... .......... .......... .......... .......... 64% 41.5M 1s
[2024-12-06T17:52:48.734+0000] {subprocess.py:106} INFO -  31950K .......... .......... .......... .......... .......... 64%  142M 1s
[2024-12-06T17:52:48.736+0000] {subprocess.py:106} INFO -  32000K .......... .......... .......... .......... .......... 64%  228M 1s
[2024-12-06T17:52:48.738+0000] {subprocess.py:106} INFO -  32050K .......... .......... .......... .......... .......... 64%  207M 1s
[2024-12-06T17:52:48.739+0000] {subprocess.py:106} INFO -  32100K .......... .......... .......... .......... .......... 64%  211M 1s
[2024-12-06T17:52:48.740+0000] {subprocess.py:106} INFO -  32150K .......... .......... .......... .......... .......... 64% 92.2M 1s
[2024-12-06T17:52:48.741+0000] {subprocess.py:106} INFO -  32200K .......... .......... .......... .......... .......... 64% 91.3M 1s
[2024-12-06T17:52:48.742+0000] {subprocess.py:106} INFO -  32250K .......... .......... .......... .......... .......... 64%  112M 1s
[2024-12-06T17:52:48.743+0000] {subprocess.py:106} INFO -  32300K .......... .......... .......... .......... .......... 64%  122M 1s
[2024-12-06T17:52:48.744+0000] {subprocess.py:106} INFO -  32350K .......... .......... .......... .......... .......... 64% 52.4M 1s
[2024-12-06T17:52:48.744+0000] {subprocess.py:106} INFO -  32400K .......... .......... .......... .......... .......... 65%  179M 1s
[2024-12-06T17:52:48.745+0000] {subprocess.py:106} INFO -  32450K .......... .......... .......... .......... .......... 65%  186M 1s
[2024-12-06T17:52:48.746+0000] {subprocess.py:106} INFO -  32500K .......... .......... .......... .......... .......... 65%  149M 1s
[2024-12-06T17:52:48.749+0000] {subprocess.py:106} INFO -  32550K .......... .......... .......... .......... .......... 65% 49.7M 1s
[2024-12-06T17:52:48.750+0000] {subprocess.py:106} INFO -  32600K .......... .......... .......... .......... .......... 65%  181M 1s
[2024-12-06T17:52:48.751+0000] {subprocess.py:106} INFO -  32650K .......... .......... .......... .......... .......... 65% 84.8M 1s
[2024-12-06T17:52:48.752+0000] {subprocess.py:106} INFO -  32700K .......... .......... .......... .......... .......... 65%  101M 1s
[2024-12-06T17:52:48.754+0000] {subprocess.py:106} INFO -  32750K .......... .......... .......... .......... .......... 65% 75.9M 1s
[2024-12-06T17:52:48.755+0000] {subprocess.py:106} INFO -  32800K .......... .......... .......... .......... .......... 65% 83.2M 1s
[2024-12-06T17:52:48.755+0000] {subprocess.py:106} INFO -  32850K .......... .......... .......... .......... .......... 65%  144M 1s
[2024-12-06T17:52:48.757+0000] {subprocess.py:106} INFO -  32900K .......... .......... .......... .......... .......... 66%  118M 1s
[2024-12-06T17:52:48.758+0000] {subprocess.py:106} INFO -  32950K .......... .......... .......... .......... .......... 66%  105M 1s
[2024-12-06T17:52:48.759+0000] {subprocess.py:106} INFO -  33000K .......... .......... .......... .......... .......... 66%  136M 1s
[2024-12-06T17:52:48.760+0000] {subprocess.py:106} INFO -  33050K .......... .......... .......... .......... .......... 66%  103M 1s
[2024-12-06T17:52:48.761+0000] {subprocess.py:106} INFO -  33100K .......... .......... .......... .......... .......... 66% 81.1M 1s
[2024-12-06T17:52:48.763+0000] {subprocess.py:106} INFO -  33150K .......... .......... .......... .......... .......... 66% 88.6M 1s
[2024-12-06T17:52:48.764+0000] {subprocess.py:106} INFO -  33200K .......... .......... .......... .......... .......... 66%  106M 1s
[2024-12-06T17:52:48.766+0000] {subprocess.py:106} INFO -  33250K .......... .......... .......... .......... .......... 66% 96.1M 1s
[2024-12-06T17:52:48.767+0000] {subprocess.py:106} INFO -  33300K .......... .......... .......... .......... .......... 66% 65.9M 1s
[2024-12-06T17:52:48.768+0000] {subprocess.py:106} INFO -  33350K .......... .......... .......... .......... .......... 66%  126M 1s
[2024-12-06T17:52:48.769+0000] {subprocess.py:106} INFO -  33400K .......... .......... .......... .......... .......... 67% 49.9M 1s
[2024-12-06T17:52:48.771+0000] {subprocess.py:106} INFO -  33450K .......... .......... .......... .......... .......... 67%  124M 1s
[2024-12-06T17:52:48.773+0000] {subprocess.py:106} INFO -  33500K .......... .......... .......... .......... .......... 67% 79.4M 1s
[2024-12-06T17:52:48.774+0000] {subprocess.py:106} INFO -  33550K .......... .......... .......... .......... .......... 67%  132M 0s
[2024-12-06T17:52:48.775+0000] {subprocess.py:106} INFO -  33600K .......... .......... .......... .......... .......... 67%  105M 0s
[2024-12-06T17:52:48.776+0000] {subprocess.py:106} INFO -  33650K .......... .......... .......... .......... .......... 67% 78.9M 0s
[2024-12-06T17:52:48.778+0000] {subprocess.py:106} INFO -  33700K .......... .......... .......... .......... .......... 67%  129M 0s
[2024-12-06T17:52:48.779+0000] {subprocess.py:106} INFO -  33750K .......... .......... .......... .......... .......... 67%  248M 0s
[2024-12-06T17:52:48.781+0000] {subprocess.py:106} INFO -  33800K .......... .......... .......... .......... .......... 67% 80.3M 0s
[2024-12-06T17:52:48.782+0000] {subprocess.py:106} INFO -  33850K .......... .......... .......... .......... .......... 67%  136M 0s
[2024-12-06T17:52:48.783+0000] {subprocess.py:106} INFO -  33900K .......... .......... .......... .......... .......... 68% 68.9M 0s
[2024-12-06T17:52:48.783+0000] {subprocess.py:106} INFO -  33950K .......... .......... .......... .......... .......... 68%  177M 0s
[2024-12-06T17:52:48.783+0000] {subprocess.py:106} INFO -  34000K .......... .......... .......... .......... .......... 68% 78.1M 0s
[2024-12-06T17:52:48.783+0000] {subprocess.py:106} INFO -  34050K .......... .......... .......... .......... .......... 68% 77.6M 0s
[2024-12-06T17:52:48.784+0000] {subprocess.py:106} INFO -  34100K .......... .......... .......... .......... .......... 68%  101M 0s
[2024-12-06T17:52:48.786+0000] {subprocess.py:106} INFO -  34150K .......... .......... .......... .......... .......... 68%  110M 0s
[2024-12-06T17:52:48.787+0000] {subprocess.py:106} INFO -  34200K .......... .......... .......... .......... .......... 68% 95.5M 0s
[2024-12-06T17:52:48.788+0000] {subprocess.py:106} INFO -  34250K .......... .......... .......... .......... .......... 68%  130M 0s
[2024-12-06T17:52:48.789+0000] {subprocess.py:106} INFO -  34300K .......... .......... .......... .......... .......... 68% 88.9M 0s
[2024-12-06T17:52:48.789+0000] {subprocess.py:106} INFO -  34350K .......... .......... .......... .......... .......... 68% 88.8M 0s
[2024-12-06T17:52:48.790+0000] {subprocess.py:106} INFO -  34400K .......... .......... .......... .......... .......... 69% 90.3M 0s
[2024-12-06T17:52:48.791+0000] {subprocess.py:106} INFO -  34450K .......... .......... .......... .......... .......... 69% 55.2M 0s
[2024-12-06T17:52:48.792+0000] {subprocess.py:106} INFO -  34500K .......... .......... .......... .......... .......... 69%  164M 0s
[2024-12-06T17:52:48.792+0000] {subprocess.py:106} INFO -  34550K .......... .......... .......... .......... .......... 69% 66.4M 0s
[2024-12-06T17:52:48.793+0000] {subprocess.py:106} INFO -  34600K .......... .......... .......... .......... .......... 69%  116M 0s
[2024-12-06T17:52:48.793+0000] {subprocess.py:106} INFO -  34650K .......... .......... .......... .......... .......... 69%  206M 0s
[2024-12-06T17:52:48.794+0000] {subprocess.py:106} INFO -  34700K .......... .......... .......... .......... .......... 69% 75.3M 0s
[2024-12-06T17:52:48.795+0000] {subprocess.py:106} INFO -  34750K .......... .......... .......... .......... .......... 69% 65.8M 0s
[2024-12-06T17:52:48.796+0000] {subprocess.py:106} INFO -  34800K .......... .......... .......... .......... .......... 69% 95.5M 0s
[2024-12-06T17:52:48.797+0000] {subprocess.py:106} INFO -  34850K .......... .......... .......... .......... .......... 69%  187M 0s
[2024-12-06T17:52:48.798+0000] {subprocess.py:106} INFO -  34900K .......... .......... .......... .......... .......... 70% 88.7M 0s
[2024-12-06T17:52:48.799+0000] {subprocess.py:106} INFO -  34950K .......... .......... .......... .......... .......... 70%  202M 0s
[2024-12-06T17:52:48.801+0000] {subprocess.py:106} INFO -  35000K .......... .......... .......... .......... .......... 70% 71.8M 0s
[2024-12-06T17:52:48.802+0000] {subprocess.py:106} INFO -  35050K .......... .......... .......... .......... .......... 70% 36.7M 0s
[2024-12-06T17:52:48.802+0000] {subprocess.py:106} INFO -  35100K .......... .......... .......... .......... .......... 70%  201M 0s
[2024-12-06T17:52:48.804+0000] {subprocess.py:106} INFO -  35150K .......... .......... .......... .......... .......... 70% 89.7M 0s
[2024-12-06T17:52:48.805+0000] {subprocess.py:106} INFO -  35200K .......... .......... .......... .......... .......... 70%  221M 0s
[2024-12-06T17:52:48.806+0000] {subprocess.py:106} INFO -  35250K .......... .......... .......... .......... .......... 70%  216M 0s
[2024-12-06T17:52:48.807+0000] {subprocess.py:106} INFO -  35300K .......... .......... .......... .......... .......... 70%  125M 0s
[2024-12-06T17:52:48.807+0000] {subprocess.py:106} INFO -  35350K .......... .......... .......... .......... .......... 70%  153M 0s
[2024-12-06T17:52:48.808+0000] {subprocess.py:106} INFO -  35400K .......... .......... .......... .......... .......... 71% 68.5M 0s
[2024-12-06T17:52:48.809+0000] {subprocess.py:106} INFO -  35450K .......... .......... .......... .......... .......... 71% 93.5M 0s
[2024-12-06T17:52:48.810+0000] {subprocess.py:106} INFO -  35500K .......... .......... .......... .......... .......... 71% 74.3M 0s
[2024-12-06T17:52:48.811+0000] {subprocess.py:106} INFO -  35550K .......... .......... .......... .......... .......... 71%  122M 0s
[2024-12-06T17:52:48.812+0000] {subprocess.py:106} INFO -  35600K .......... .......... .......... .......... .......... 71% 84.8M 0s
[2024-12-06T17:52:48.813+0000] {subprocess.py:106} INFO -  35650K .......... .......... .......... .......... .......... 71%  107M 0s
[2024-12-06T17:52:48.814+0000] {subprocess.py:106} INFO -  35700K .......... .......... .......... .......... .......... 71%  117M 0s
[2024-12-06T17:52:48.815+0000] {subprocess.py:106} INFO -  35750K .......... .......... .......... .......... .......... 71% 94.2M 0s
[2024-12-06T17:52:48.815+0000] {subprocess.py:106} INFO -  35800K .......... .......... .......... .......... .......... 71%  116M 0s
[2024-12-06T17:52:48.816+0000] {subprocess.py:106} INFO -  35850K .......... .......... .......... .......... .......... 71% 69.6M 0s
[2024-12-06T17:52:48.817+0000] {subprocess.py:106} INFO -  35900K .......... .......... .......... .......... .......... 72%  115M 0s
[2024-12-06T17:52:48.817+0000] {subprocess.py:106} INFO -  35950K .......... .......... .......... .......... .......... 72% 76.8M 0s
[2024-12-06T17:52:48.821+0000] {subprocess.py:106} INFO -  36000K .......... .......... .......... .......... .......... 72% 88.5M 0s
[2024-12-06T17:52:48.825+0000] {subprocess.py:106} INFO -  36050K .......... .......... .......... .......... .......... 72%  140M 0s
[2024-12-06T17:52:48.828+0000] {subprocess.py:106} INFO -  36100K .......... .......... .......... .......... .......... 72%  100M 0s
[2024-12-06T17:52:48.831+0000] {subprocess.py:106} INFO -  36150K .......... .......... .......... .......... .......... 72% 68.8M 0s
[2024-12-06T17:52:48.833+0000] {subprocess.py:106} INFO -  36200K .......... .......... .......... .......... .......... 72%  123M 0s
[2024-12-06T17:52:48.835+0000] {subprocess.py:106} INFO -  36250K .......... .......... .......... .......... .......... 72%  111M 0s
[2024-12-06T17:52:48.837+0000] {subprocess.py:106} INFO -  36300K .......... .......... .......... .......... .......... 72% 75.1M 0s
[2024-12-06T17:52:48.841+0000] {subprocess.py:106} INFO -  36350K .......... .......... .......... .......... .......... 72%  127M 0s
[2024-12-06T17:52:48.843+0000] {subprocess.py:106} INFO -  36400K .......... .......... .......... .......... .......... 73% 65.0M 0s
[2024-12-06T17:52:48.844+0000] {subprocess.py:106} INFO -  36450K .......... .......... .......... .......... .......... 73%  175M 0s
[2024-12-06T17:52:48.845+0000] {subprocess.py:106} INFO -  36500K .......... .......... .......... .......... .......... 73% 77.2M 0s
[2024-12-06T17:52:48.847+0000] {subprocess.py:106} INFO -  36550K .......... .......... .......... .......... .......... 73%  108M 0s
[2024-12-06T17:52:48.848+0000] {subprocess.py:106} INFO -  36600K .......... .......... .......... .......... .......... 73% 97.7M 0s
[2024-12-06T17:52:48.850+0000] {subprocess.py:106} INFO -  36650K .......... .......... .......... .......... .......... 73%  100M 0s
[2024-12-06T17:52:48.851+0000] {subprocess.py:106} INFO -  36700K .......... .......... .......... .......... .......... 73% 93.0M 0s
[2024-12-06T17:52:48.851+0000] {subprocess.py:106} INFO -  36750K .......... .......... .......... .......... .......... 73% 95.9M 0s
[2024-12-06T17:52:48.851+0000] {subprocess.py:106} INFO -  36800K .......... .......... .......... .......... .......... 73% 96.4M 0s
[2024-12-06T17:52:48.851+0000] {subprocess.py:106} INFO -  36850K .......... .......... .......... .......... .......... 73%  154M 0s
[2024-12-06T17:52:48.851+0000] {subprocess.py:106} INFO -  36900K .......... .......... .......... .......... .......... 74% 69.0M 0s
[2024-12-06T17:52:48.851+0000] {subprocess.py:106} INFO -  36950K .......... .......... .......... .......... .......... 74%  100M 0s
[2024-12-06T17:52:48.852+0000] {subprocess.py:106} INFO -  37000K .......... .......... .......... .......... .......... 74% 69.0M 0s
[2024-12-06T17:52:48.853+0000] {subprocess.py:106} INFO -  37050K .......... .......... .......... .......... .......... 74%  148M 0s
[2024-12-06T17:52:48.854+0000] {subprocess.py:106} INFO -  37100K .......... .......... .......... .......... .......... 74% 79.7M 0s
[2024-12-06T17:52:48.854+0000] {subprocess.py:106} INFO -  37150K .......... .......... .......... .......... .......... 74%  120M 0s
[2024-12-06T17:52:48.855+0000] {subprocess.py:106} INFO -  37200K .......... .......... .......... .......... .......... 74% 36.9M 0s
[2024-12-06T17:52:48.855+0000] {subprocess.py:106} INFO -  37250K .......... .......... .......... .......... .......... 74% 30.8M 0s
[2024-12-06T17:52:48.855+0000] {subprocess.py:106} INFO -  37300K .......... .......... .......... .......... .......... 74%  184M 0s
[2024-12-06T17:52:48.855+0000] {subprocess.py:106} INFO -  37350K .......... .......... .......... .......... .......... 74%  171M 0s
[2024-12-06T17:52:48.856+0000] {subprocess.py:106} INFO -  37400K .......... .......... .......... .......... .......... 75%  280M 0s
[2024-12-06T17:52:48.857+0000] {subprocess.py:106} INFO -  37450K .......... .......... .......... .......... .......... 75%  291M 0s
[2024-12-06T17:52:48.857+0000] {subprocess.py:106} INFO -  37500K .......... .......... .......... .......... .......... 75%  254M 0s
[2024-12-06T17:52:48.858+0000] {subprocess.py:106} INFO -  37550K .......... .......... .......... .......... .......... 75%  280M 0s
[2024-12-06T17:52:48.858+0000] {subprocess.py:106} INFO -  37600K .......... .......... .......... .......... .......... 75% 93.8M 0s
[2024-12-06T17:52:48.858+0000] {subprocess.py:106} INFO -  37650K .......... .......... .......... .......... .......... 75%  123M 0s
[2024-12-06T17:52:48.860+0000] {subprocess.py:106} INFO -  37700K .......... .......... .......... .......... .......... 75% 60.6M 0s
[2024-12-06T17:52:48.860+0000] {subprocess.py:106} INFO -  37750K .......... .......... .......... .......... .......... 75%  102M 0s
[2024-12-06T17:52:48.865+0000] {subprocess.py:106} INFO -  37800K .......... .......... .......... .......... .......... 75% 81.2M 0s
[2024-12-06T17:52:48.866+0000] {subprocess.py:106} INFO -  37850K .......... .......... .......... .......... .......... 75% 81.4M 0s
[2024-12-06T17:52:48.867+0000] {subprocess.py:106} INFO -  37900K .......... .......... .......... .......... .......... 76%  143M 0s
[2024-12-06T17:52:48.869+0000] {subprocess.py:106} INFO -  37950K .......... .......... .......... .......... .......... 76% 83.2M 0s
[2024-12-06T17:52:48.871+0000] {subprocess.py:106} INFO -  38000K .......... .......... .......... .......... .......... 76%  106M 0s
[2024-12-06T17:52:48.872+0000] {subprocess.py:106} INFO -  38050K .......... .......... .......... .......... .......... 76% 57.0M 0s
[2024-12-06T17:52:48.873+0000] {subprocess.py:106} INFO -  38100K .......... .......... .......... .......... .......... 76% 95.9M 0s
[2024-12-06T17:52:48.875+0000] {subprocess.py:106} INFO -  38150K .......... .......... .......... .......... .......... 76%  160M 0s
[2024-12-06T17:52:48.878+0000] {subprocess.py:106} INFO -  38200K .......... .......... .......... .......... .......... 76%  180M 0s
[2024-12-06T17:52:48.880+0000] {subprocess.py:106} INFO -  38250K .......... .......... .......... .......... .......... 76% 54.5M 0s
[2024-12-06T17:52:48.881+0000] {subprocess.py:106} INFO -  38300K .......... .......... .......... .......... .......... 76% 77.5M 0s
[2024-12-06T17:52:48.882+0000] {subprocess.py:106} INFO -  38350K .......... .......... .......... .......... .......... 76% 99.5M 0s
[2024-12-06T17:52:48.886+0000] {subprocess.py:106} INFO -  38400K .......... .......... .......... .......... .......... 77%  174M 0s
[2024-12-06T17:52:48.887+0000] {subprocess.py:106} INFO -  38450K .......... .......... .......... .......... .......... 77% 89.3M 0s
[2024-12-06T17:52:48.888+0000] {subprocess.py:106} INFO -  38500K .......... .......... .......... .......... .......... 77% 64.9M 0s
[2024-12-06T17:52:48.889+0000] {subprocess.py:106} INFO -  38550K .......... .......... .......... .......... .......... 77%  279M 0s
[2024-12-06T17:52:48.892+0000] {subprocess.py:106} INFO -  38600K .......... .......... .......... .......... .......... 77% 68.1M 0s
[2024-12-06T17:52:48.893+0000] {subprocess.py:106} INFO -  38650K .......... .......... .......... .......... .......... 77% 86.3M 0s
[2024-12-06T17:52:48.895+0000] {subprocess.py:106} INFO -  38700K .......... .......... .......... .......... .......... 77%  106M 0s
[2024-12-06T17:52:48.896+0000] {subprocess.py:106} INFO -  38750K .......... .......... .......... .......... .......... 77% 57.9M 0s
[2024-12-06T17:52:48.897+0000] {subprocess.py:106} INFO -  38800K .......... .......... .......... .......... .......... 77% 70.9M 0s
[2024-12-06T17:52:48.899+0000] {subprocess.py:106} INFO -  38850K .......... .......... .......... .......... .......... 78%  167M 0s
[2024-12-06T17:52:48.900+0000] {subprocess.py:106} INFO -  38900K .......... .......... .......... .......... .......... 78% 77.4M 0s
[2024-12-06T17:52:48.901+0000] {subprocess.py:106} INFO -  38950K .......... .......... .......... .......... .......... 78% 88.4M 0s
[2024-12-06T17:52:48.901+0000] {subprocess.py:106} INFO -  39000K .......... .......... .......... .......... .......... 78%  184M 0s
[2024-12-06T17:52:48.901+0000] {subprocess.py:106} INFO -  39050K .......... .......... .......... .......... .......... 78%  181M 0s
[2024-12-06T17:52:48.901+0000] {subprocess.py:106} INFO -  39100K .......... .......... .......... .......... .......... 78% 69.3M 0s
[2024-12-06T17:52:48.902+0000] {subprocess.py:106} INFO -  39150K .......... .......... .......... .......... .......... 78%  227M 0s
[2024-12-06T17:52:48.903+0000] {subprocess.py:106} INFO -  39200K .......... .......... .......... .......... .......... 78% 86.8M 0s
[2024-12-06T17:52:48.903+0000] {subprocess.py:106} INFO -  39250K .......... .......... .......... .......... .......... 78%  129M 0s
[2024-12-06T17:52:48.903+0000] {subprocess.py:106} INFO -  39300K .......... .......... .......... .......... .......... 78%  134M 0s
[2024-12-06T17:52:48.904+0000] {subprocess.py:106} INFO -  39350K .......... .......... .......... .......... .......... 79%  108M 0s
[2024-12-06T17:52:48.904+0000] {subprocess.py:106} INFO -  39400K .......... .......... .......... .......... .......... 79%  158M 0s
[2024-12-06T17:52:48.904+0000] {subprocess.py:106} INFO -  39450K .......... .......... .......... .......... .......... 79% 49.8M 0s
[2024-12-06T17:52:48.905+0000] {subprocess.py:106} INFO -  39500K .......... .......... .......... .......... .......... 79% 51.4M 0s
[2024-12-06T17:52:48.905+0000] {subprocess.py:106} INFO -  39550K .......... .......... .......... .......... .......... 79% 79.7M 0s
[2024-12-06T17:52:48.905+0000] {subprocess.py:106} INFO -  39600K .......... .......... .......... .......... .......... 79%  195M 0s
[2024-12-06T17:52:48.905+0000] {subprocess.py:106} INFO -  39650K .......... .......... .......... .......... .......... 79% 79.0M 0s
[2024-12-06T17:52:48.905+0000] {subprocess.py:106} INFO -  39700K .......... .......... .......... .......... .......... 79%  124M 0s
[2024-12-06T17:52:48.906+0000] {subprocess.py:106} INFO -  39750K .......... .......... .......... .......... .......... 79% 59.0M 0s
[2024-12-06T17:52:48.906+0000] {subprocess.py:106} INFO -  39800K .......... .......... .......... .......... .......... 79% 66.0M 0s
[2024-12-06T17:52:48.906+0000] {subprocess.py:106} INFO -  39850K .......... .......... .......... .......... .......... 80% 35.0M 0s
[2024-12-06T17:52:48.906+0000] {subprocess.py:106} INFO -  39900K .......... .......... .......... .......... .......... 80% 51.3M 0s
[2024-12-06T17:52:48.906+0000] {subprocess.py:106} INFO -  39950K .......... .......... .......... .......... .......... 80% 50.3M 0s
[2024-12-06T17:52:48.906+0000] {subprocess.py:106} INFO -  40000K .......... .......... .......... .......... .......... 80% 44.2M 0s
[2024-12-06T17:52:48.907+0000] {subprocess.py:106} INFO -  40050K .......... .......... .......... .......... .......... 80% 38.5M 0s
[2024-12-06T17:52:48.907+0000] {subprocess.py:106} INFO -  40100K .......... .......... .......... .......... .......... 80% 20.1M 0s
[2024-12-06T17:52:48.907+0000] {subprocess.py:106} INFO -  40150K .......... .......... .......... .......... .......... 80% 80.0M 0s
